42	41	65	18	51	52	36	49	30	6	73	23	22	22	20	43	15	27	47	43	28	14	42	31	48	27	20	28	49	0	32	32	54	70	61	64	28	47	8	38	23	16	27	10	19	38	23	73	44	21	58	
10	37	33	40	19	34	16	45	34	26	41	25	18	24	30	39	25	5	43	39	16	38	38	5	44	51	12	18	21	32	0	28	22	38	29	32	34	43	32	10	53	16	23	22	23	14	9	41	12	15	28	
22	29	37	36	33	24	12	17	30	26	45	53	14	52	26	23	21	29	17	11	12	34	10	33	16	47	32	10	21	32	28	0	26	42	33	36	30	15	28	38	49	44	19	22	19	14	29	45	32	43	30	
12	55	11	62	15	24	18	43	56	48	19	35	40	34	52	49	47	27	43	37	26	60	28	23	34	73	34	26	11	54	22	26	0	16	7	10	56	33	54	20	75	38	45	44	45	16	31	19	14	33	18	
28	71	11	78	25	18	34	59	72	64	3	47	56	48	68	65	63	43	59	53	42	76	32	39	48	89	50	42	21	70	38	42	16	0	9	10	72	47	70	32	91	54	61	60	61	32	47	3	26	49	12	
19	62	4	69	18	21	25	50	63	55	12	38	47	39	59	56	54	34	50	44	33	67	25	30	39	80	41	33	12	61	29	33	7	9	0	3	63	38	61	23	82	45	52	51	52	23	38	12	17	40	15	
22	65	1	72	15	24	28	53	66	58	11	41	50	42	62	59	57	37	53	47	36	70	28	33	42	83	44	36	15	64	32	36	10	10	3	0	66	41	64	26	85	48	55	54	55	26	41	9	20	43	18	
44	13	67	10	53	54	38	21	2	22	75	49	16	48	8	15	13	29	19	19	30	14	40	33	24	17	28	30	51	28	34	30	56	72	63	66	0	25	20	40	19	40	11	18	11	40	25	75	46	39	60	
37	24	42	31	48	29	27	12	25	41	50	68	25	67	27	18	32	44	12	6	27	33	15	48	1	42	47	25	26	47	43	15	33	47	38	41	25	0	39	53	44	59	20	37	28	29	44	50	47	58	35	
42	33	65	10	51	52	36	41	22	6	73	29	14	28	12	35	7	27	39	35	28	6	38	31	40	19	20	28	49	8	32	28	54	70	61	64	20	39	0	38	21	20	19	10	11	38	23	73	44	21	58	
16	47	27	46	13	44	26	55	40	32	35	15	28	16	36	49	31	11	53	49	26	44	48	7	54	57	18	28	31	38	10	38	20	32	23	26	40	53	38	0	59	22	33	28	29	24	15	35	6	17	38	
63	20	86	13	72	73	57	32	19	27	94	44	35	43	23	26	28	48	32	38	49	15	59	52	43	4	41	49	70	23	53	49	75	91	82	85	19	44	21	59	0	37	30	31	30	59	44	94	65	42	79	
26	53	49	30	35	50	32	61	42	18	57	9	34	8	32	55	27	15	59	55	32	26	54	15	60	39	12	34	37	16	16	44	38	54	45	48	40	59	20	22	37	0	39	22	31	30	15	57	28	5	44	
33	14	56	17	42	43	27	22	11	21	64	48	5	47	7	16	12	24	20	16	19	15	29	28	21	28	27	19	40	27	23	19	45	61	52	55	11	20	19	33	30	39	0	17	8	29	24	64	35	38	49	
32	31	55	18	41	42	26	39	20	4	63	31	12	30	10	33	5	17	37	33	18	16	32	21	38	29	10	18	39	10	22	22	44	60	51	54	18	37	10	28	31	22	17	0	9	28	13	63	34	21	48	
33	22	56	17	42	43	27	30	11	13	64	40	5	39	7	24	4	18	28	24	19	15	29	22	29	28	19	19	40	19	23	19	45	61	52	55	11	28	11	29	30	31	8	9	0	29	16	64	35	30	49	
8	39	27	46	19	20	2	31	40	32	35	39	24	38	36	33	31	15	29	25	10	44	24	19	30	57	18	10	11	38	14	14	16	32	23	26	40	29	38	24	59	30	29	28	29	0	15	35	18	29	20	
19	38	42	31	28	35	17	46	27	17	50	24	19	23	21	40	16	4	44	40	17	29	39	8	45	42	3	19	26	23	9	29	31	47	38	41	25	44	23	15	44	15	24	13	16	15	0	50	21	14	35	
31	74	8	81	22	21	37	62	75	67	4	50	59	51	71	68	66	46	62	56	45	79	35	42	51	92	53	45	24	73	41	45	19	3	12	9	75	50	73	35	94	57	64	63	64	35	50	0	29	52	15	
10	45	21	52	7	38	20	49	46	38	29	21	30	22	42	43	37	17	47	43	20	50	42	13	48	63	24	22	25	44	12	32	14	26	17	20	46	47	44	6	65	28	35	34	35	18	21	29	0	23	32	
21	52	44	29	30	49	31	60	41	17	52	10	33	9	31	54	26	14	58	54	31	27	53	10	59	40	11	33	36	21	15	43	33	49	40	43	39	58	21	17	42	5	38	21	30	29	14	52	23	0	43	
22	59	19	66	33	6	22	47	60	52	15	53	44	52	56	53	51	31	47	41	30	64	20	33	36	77	38	30	9	58	28	30	18	12	15	18	60	35	58	38	79	44	49	48	49	20	35	15	32	43	0	
