55	62	21	65	51	51	33	10	13	3	0	65	26	71	51	45	37	31	22	22	41	34	24	32	30	38	24	28	36	16	75	6	45	58	23	27	35	27	50	48	39	13	21	10	43	49	28	45	15	34	38
10	3	54	50	14	40	68	69	52	62	65	0	45	6	20	62	32	60	81	57	24	31	41	33	35	53	41	37	31	61	10	59	34	7	42	72	36	48	21	55	26	56	50	55	22	34	69	20	76	31	27
35	42	9	39	31	25	23	24	17	29	26	45	0	51	31	19	13	15	36	12	21	34	6	12	14	12	16	36	42	16	55	22	19	38	19	27	9	3	30	22	27	13	5	16	23	23	24	25	31	14	18
16	9	60	50	20	46	74	75	58	68	71	6	51	0	20	68	38	66	87	63	30	37	47	39	41	59	47	43	35	67	4	65	40	13	48	78	42	54	21	61	32	62	56	61	28	38	75	26	82	37	33
20	23	40	30	30	26	54	55	38	48	51	20	31	20	0	48	18	46	67	43	10	43	27	19	23	39	27	45	51	47	24	45	20	23	28	58	22	34	1	41	36	42	36	41	8	18	55	24	62	17	13
52	59	24	20	48	22	12	35	36	48	45	62	19	68	48	0	30	14	23	23	38	53	25	29	33	9	35	55	61	29	72	41	28	55	38	18	26	18	47	7	46	32	24	35	40	30	17	42	30	31	35
22	29	22	28	32	14	36	37	28	40	37	32	13	38	18	30	0	28	49	25	8	45	17	5	25	21	27	47	53	29	42	33	8	25	30	40	4	16	17	23	38	24	18	27	10	12	37	26	44	3	5
50	57	10	34	46	20	8	21	22	34	31	60	15	66	46	14	28	0	21	9	36	39	19	27	25	7	21	41	47	15	70	27	26	53	24	12	24	12	45	17	34	18	10	21	38	28	9	40	16	29	33
71	78	27	43	67	41	13	12	29	25	22	81	36	87	67	23	49	21	0	24	57	50	40	48	46	28	40	44	52	20	91	22	47	74	39	9	45	33	66	26	55	25	31	26	59	49	12	61	7	50	54
47	54	3	43	43	29	11	12	13	25	22	57	12	63	43	23	25	9	24	0	33	30	16	24	22	16	16	32	38	6	67	18	23	50	15	15	21	9	42	26	31	9	7	12	35	27	12	37	19	26	30
16	21	30	34	26	20	44	45	28	38	41	24	21	30	10	38	8	36	57	33	0	39	17	9	19	29	21	41	47	37	34	35	14	19	24	48	12	24	9	31	32	32	26	31	6	18	45	20	52	7	3
23	28	29	73	17	59	41	38	21	31	34	31	34	37	43	53	45	39	50	30	39	0	28	40	20	46	18	6	8	30	41	28	53	24	15	41	43	35	44	56	7	25	29	24	45	57	38	19	45	42	42
31	38	13	45	27	31	27	28	11	23	24	41	6	47	27	25	17	19	40	16	17	28	0	12	8	18	10	30	36	20	51	18	25	34	13	31	15	7	26	28	21	15	9	14	19	29	28	21	35	14	14
23	30	21	33	27	19	35	36	23	35	32	33	12	39	19	29	5	27	48	24	9	40	12	0	20	20	22	42	48	28	43	28	13	26	25	39	3	15	18	22	33	23	17	22	11	17	36	21	43	2	6
25	32	19	53	21	39	33	34	17	27	30	35	14	41	23	33	25	25	46	22	19	20	8	20	0	26	6	22	28	26	45	24	33	28	7	37	23	15	24	36	13	21	15	20	25	37	34	15	41	22	22
43	50	17	27	39	13	15	28	29	41	38	53	12	59	39	9	21	7	28	16	29	46	18	20	26	0	28	48	54	22	63	34	19	46	31	19	17	11	38	10	39	25	17	28	31	21	16	33	23	22	26
31	38	13	55	27	41	27	28	11	21	24	41	16	47	27	35	27	21	40	16	21	18	10	22	6	28	0	20	26	20	51	18	35	34	3	31	25	17	26	38	15	15	11	14	27	39	28	21	35	24	24
27	34	31	75	23	61	43	32	19	25	28	37	36	43	45	55	47	41	44	32	41	6	30	42	22	48	20	0	8	26	47	22	55	30	17	37	45	37	46	58	11	23	31	20	47	59	38	21	39	44	44
31	28	37	81	21	67	49	40	25	33	36	31	42	35	51	61	53	47	52	38	47	8	36	48	28	54	26	8	0	32	39	30	61	28	23	43	51	43	52	64	15	29	37	26	53	65	44	27	47	50	50
51	58	7	49	47	35	17	8	9	19	16	61	16	67	47	29	29	15	20	6	37	30	20	28	26	22	20	26	32	0	71	12	29	54	19	11	25	13	46	32	35	5	11	6	39	33	12	41	15	30	34
20	13	64	54	24	50	78	79	62	72	75	10	55	4	24	72	42	70	91	67	34	41	51	43	45	63	51	47	39	71	0	69	44	17	52	82	46	58	25	65	36	66	60	65	32	42	79	30	86	41	37
49	56	17	61	45	47	29	10	7	7	6	59	22	65	45	41	33	27	22	18	35	28	18	28	24	34	18	22	30	12	69	0	41	52	17	23	31	23	44	44	33	9	17	6	37	45	24	39	17	30	32
30	33	24	20	40	6	34	35	36	48	45	34	19	40	20	28	8	26	47	23	14	53	25	13	33	19	35	55	61	29	44	41	0	33	38	38	10	18	19	21	46	32	24	35	12	4	35	34	42	11	11
3	4	47	53	7	39	61	62	45	55	58	7	38	13	23	55	25	53	74	50	19	24	34	26	28	46	34	30	28	54	17	52	33	0	35	65	29	41	24	48	19	49	43	48	25	37	62	13	69	24	22
32	39	14	58	28	44	26	27	10	20	23	42	19	48	28	38	30	24	39	15	24	15	13	25	7	31	3	17	23	19	52	17	38	35	0	30	28	20	29	41	16	14	14	13	30	42	27	22	34	27	27
62	69	18	38	58	32	6	17	20	30	27	72	27	78	58	18	40	12	9	15	48	41	31	39	37	19	31	37	43	11	82	23	38	65	30	0	36	24	57	21	46	16	22	17	50	40	3	52	12	41	45
26	33	18	30	30	16	32	33	26	38	35	36	9	42	22	26	4	24	45	21	12	43	15	3	23	17	25	45	51	25	46	31	10	29	28	36	0	12	21	19	36	22	14	25	14	14	33	24	40	5	9
38	45	6	38	34	24	20	21	18	30	27	48	3	54	34	18	16	12	33	9	24	35	7	15	15	11	17	37	43	13	58	23	18	41	20	24	12	0	33	21	28	14	6	17	26	22	21	28	28	17	21
21	24	39	29	31	25	53	54	37	47	50	21	30	21	1	47	17	45	66	42	9	44	26	18	24	38	26	46	52	46	25	44	19	24	29	57	21	33	0	40	37	41	35	40	7	17	54	25	61	16	12
45	52	27	17	43	15	15	38	39	51	48	55	22	61	41	7	23	17	26	26	31	56	28	22	36	10	38	58	64	32	65	44	21	48	41	21	19	21	40	0	49	35	27	38	33	23	20	37	33	24	28
16	23	28	66	12	52	42	43	26	36	39	26	27	32	36	46	38	34	55	31	32	7	21	33	13	39	15	11	15	35	36	33	46	19	16	46	36	28	37	49	0	30	24	29	38	50	43	12	50	35	35
46	53	8	52	42	38	20	13	4	16	13	56	13	62	42	32	24	18	25	9	32	25	15	23	21	25	15	23	29	5	66	9	32	49	14	16	22	14	41	35	30	0	8	3	34	36	15	36	20	25	29
40	47	4	44	36	30	18	19	12	24	21	50	5	56	36	24	18	10	31	7	26	29	9	17	15	17	11	31	37	11	60	17	24	43	14	22	14	6	35	27	24	8	0	11	28	28	19	30	26	19	23
45	52	11	55	41	41	23	14	3	13	10	55	16	61	41	35	27	21	26	12	31	24	14	22	20	28	14	20	26	6	65	6	35	48	13	17	25	17	40	38	29	3	11	0	33	39	18	35	21	24	28
22	25	32	28	32	18	46	47	30	40	43	22	23	28	8	40	10	38	59	35	6	45	19	11	25	31	27	47	53	39	32	37	12	25	30	50	14	26	7	33	38	34	28	33	0	12	47	26	54	9	5
34	37	28	16	44	8	36	39	40	52	49	34	23	38	18	30	12	28	49	27	18	57	29	17	37	21	39	59	65	33	42	45	4	37	42	40	14	22	17	23	50	36	28	39	12	0	37	38	44	15	15
59	66	15	37	55	29	5	18	19	31	28	69	24	75	55	17	37	9	12	12	45	38	28	36	34	16	28	38	44	12	79	24	35	62	27	3	33	21	54	20	43	15	19	18	47	37	0	49	13	38	42
10	17	34	54	6	40	48	49	32	42	45	20	25	26	24	42	26	40	61	37	20	19	21	21	15	33	21	21	27	41	30	39	34	13	22	52	24	28	25	37	12	36	30	35	26	38	49	0	56	23	23
66	73	22	50	62	36	18	7	24	18	15	76	31	82	62	30	44	16	7	19	52	45	35	43	41	23	35	39	47	15	86	17	42	69	34	12	40	28	61	33	50	20	26	21	54	44	13	56	0	45	49
21	28	23	31	29	17	37	38	25	37	34	31	14	37	17	31	3	29	50	26	7	42	14	2	22	22	24	44	50	30	41	30	11	24	27	41	5	17	16	24	35	25	19	24	9	15	38	23	45	0	4
19	24	27	31	29	17	41	42	25	37	38	27	18	33	13	35	5	33	54	30	3	42	14	6	22	26	24	44	50	34	37	32	11	22	27	45	9	21	12	28	35	29	23	28	5	15	42	23	49	4	0
