24	1	28	56	29	46	16	78	14	89	0	5	49	53	27	62	4	27	63	53	51	35	48	46	68	57	26	59	47	62	63	29	15	55	6	27	89	24	34	41	68	9	26	34	27	42	10	24	35	41	78
25	4	33	61	34	51	21	83	19	94	5	0	54	58	32	67	7	32	68	58	56	40	53	51	73	62	31	64	52	67	68	34	20	60	11	32	94	19	39	40	73	12	31	39	32	47	11	29	40	46	83
29	50	21	13	22	33	35	29	35	40	49	54	0	36	46	13	47	22	34	18	50	14	51	3	29	26	23	42	46	15	38	24	34	52	43	22	40	37	23	16	25	42	29	15	52	53	43	29	40	8	29
35	54	39	23	24	7	37	25	39	36	53	58	36	0	26	29	51	26	10	18	14	32	15	37	15	10	27	6	10	21	10	24	38	16	47	26	36	41	19	52	15	46	27	39	28	17	47	29	18	28	25
45	28	49	33	24	19	11	51	17	62	27	32	46	26	0	39	25	30	36	28	24	42	21	47	41	30	37	32	20	35	36	22	12	28	23	32	62	45	23	62	41	30	17	49	6	15	31	17	8	38	51
42	63	34	6	33	26	46	16	48	27	62	67	13	29	39	0	60	35	27	11	43	27	44	16	22	19	36	35	39	8	31	33	47	45	56	35	27	50	28	27	18	55	36	28	45	46	56	38	33	21	16
20	3	26	54	27	44	14	76	12	87	4	7	47	51	25	60	0	25	61	51	49	33	46	44	66	55	24	57	45	60	61	27	13	53	4	25	87	20	32	37	66	5	24	32	31	40	6	22	33	39	76
15	28	19	29	6	19	19	51	13	62	27	32	22	26	30	35	25	0	36	26	34	12	35	19	41	30	7	32	30	35	36	8	18	36	21	2	62	15	7	32	41	20	13	19	36	37	21	13	24	14	51
43	64	37	21	34	17	47	15	49	26	63	68	34	10	36	27	61	36	0	16	16	30	17	35	5	8	37	8	16	19	4	34	48	18	57	36	26	51	29	50	9	56	37	37	38	21	57	39	28	26	17
33	54	25	5	24	15	37	25	39	36	53	58	18	18	28	11	51	26	16	0	32	18	33	19	15	8	27	24	28	9	20	24	38	34	47	26	36	41	19	34	15	46	27	21	34	35	47	29	22	12	25
49	52	53	37	28	17	35	31	37	38	51	56	50	14	24	43	49	34	16	32	0	46	3	51	21	24	41	8	4	35	12	26	36	4	45	36	38	49	27	66	25	44	25	53	26	9	45	27	16	42	33
15	36	7	21	18	29	31	43	25	54	35	40	14	32	42	27	33	12	30	18	46	0	47	11	33	22	9	38	42	27	34	20	30	48	29	10	54	23	19	20	33	28	25	7	48	49	29	25	36	6	43
50	49	54	38	29	18	32	32	34	41	48	53	51	15	21	44	46	35	17	33	3	47	0	52	22	25	42	11	5	36	15	27	33	7	42	37	41	50	28	67	26	41	22	54	23	6	42	24	13	43	34
26	47	18	14	23	34	36	32	32	43	46	51	3	37	47	16	44	19	35	19	51	11	52	0	30	27	20	43	47	16	39	25	35	53	40	19	43	34	24	15	26	39	30	12	53	54	40	30	41	9	32
48	69	40	16	39	22	52	10	54	21	68	73	29	15	41	22	66	41	5	15	21	33	22	30	0	11	42	13	21	14	9	39	53	23	62	41	21	56	34	45	4	61	42	34	43	26	62	44	33	27	12
37	58	29	13	28	11	41	21	43	32	57	62	26	10	30	19	55	30	8	8	24	22	25	27	11	0	31	16	20	11	12	28	42	26	51	30	32	45	23	42	11	50	31	29	32	27	51	33	22	18	21
8	27	12	30	13	24	26	52	20	63	26	31	23	27	37	36	24	7	37	27	41	9	42	20	42	31	0	33	37	36	37	15	25	43	20	5	63	14	14	25	42	19	20	12	43	44	20	20	31	15	52
41	60	45	29	30	13	43	23	45	30	59	64	42	6	32	35	57	32	8	24	8	38	11	43	13	16	33	0	12	27	4	30	44	10	53	32	30	47	25	58	17	52	33	45	34	17	53	35	24	34	25
45	48	49	33	24	13	31	31	33	42	47	52	46	10	20	39	45	30	16	28	4	42	5	47	21	20	37	12	0	31	16	22	32	8	41	32	42	45	23	62	21	40	21	49	22	7	41	23	12	38	31
42	63	34	6	33	18	46	16	48	27	62	67	15	21	35	8	60	35	19	9	35	27	36	16	14	11	36	27	31	0	23	33	47	37	56	35	27	50	28	31	10	55	36	28	37	38	56	38	27	21	16
43	64	41	25	34	17	47	19	49	26	63	68	38	10	36	31	61	36	4	20	12	34	15	39	9	12	37	4	16	23	0	34	48	14	57	36	26	51	29	54	13	56	37	41	38	21	57	39	28	30	21
23	30	27	27	2	17	13	49	15	60	29	34	24	24	22	33	27	8	34	24	26	20	27	25	39	28	15	30	22	33	34	0	14	28	23	10	60	23	5	40	39	22	5	27	28	29	23	5	16	16	49
33	16	37	41	14	31	1	63	5	74	15	20	34	38	12	47	13	18	48	38	36	30	33	35	53	42	25	44	32	47	48	14	0	40	11	20	74	33	19	50	53	18	11	37	18	27	19	9	20	26	63
51	56	55	39	30	19	39	33	41	34	55	60	52	16	28	45	53	36	18	34	4	48	7	53	23	26	43	10	8	37	14	28	40	0	49	38	34	51	29	68	27	48	29	55	30	13	49	31	20	44	35
22	7	26	50	23	40	12	72	8	83	6	11	43	47	23	56	4	21	57	47	45	29	42	40	62	51	20	53	41	56	57	23	11	49	0	21	83	22	28	39	62	7	20	28	29	36	8	18	29	35	72
13	28	17	29	8	19	21	51	15	62	27	32	22	26	32	35	25	2	36	26	36	10	37	19	41	30	5	32	32	35	36	10	20	38	21	0	62	15	9	30	41	20	15	17	38	39	21	15	26	14	51
69	90	61	33	60	43	73	11	75	0	89	94	40	36	62	27	87	62	26	36	38	54	41	43	21	32	63	30	42	27	26	60	74	34	83	62	0	77	55	54	21	82	63	55	64	47	83	65	54	48	11
8	23	16	44	21	34	34	66	28	77	24	19	37	41	45	50	20	15	51	41	49	23	50	34	56	45	14	47	45	50	51	23	33	51	22	15	77	0	22	23	56	15	28	22	51	52	14	28	39	29	66
22	35	26	22	5	12	18	44	20	55	34	39	23	19	23	28	32	7	29	19	27	19	28	24	34	23	14	25	23	28	29	5	19	29	28	9	55	22	0	39	34	27	8	26	29	30	28	10	17	15	44
17	40	13	29	38	49	51	43	45	54	41	40	16	52	62	27	37	32	50	34	66	20	67	15	45	42	25	58	62	31	54	40	50	68	39	30	54	23	39	0	41	32	45	13	68	69	31	45	56	24	43
48	69	40	12	39	22	52	10	54	21	68	73	25	15	41	18	66	41	9	15	25	33	26	26	4	11	42	17	21	10	13	39	53	27	62	41	21	56	34	41	0	61	42	34	43	28	62	44	33	27	10
15	8	21	49	22	39	19	71	13	82	9	12	42	46	30	55	5	20	56	46	44	28	41	39	61	50	19	52	40	55	56	22	18	48	7	20	82	15	27	32	61	0	19	27	36	37	1	17	28	34	71
28	27	32	30	7	20	10	52	12	63	26	31	29	27	17	36	24	13	37	27	25	25	22	30	42	31	20	33	21	36	37	5	11	29	20	15	63	28	8	45	42	19	0	32	23	24	20	2	11	21	52
14	35	6	22	25	36	38	44	32	55	34	39	15	39	49	28	32	19	37	21	53	7	54	12	34	29	12	45	49	28	41	27	37	55	28	17	55	22	26	13	34	27	32	0	55	56	28	32	43	11	44
51	28	55	39	30	21	17	53	23	64	27	32	52	28	6	45	31	36	38	34	26	48	23	53	43	32	43	34	22	37	38	28	18	30	29	38	64	51	29	68	43	36	23	55	0	17	37	23	12	44	53
52	43	56	40	31	20	26	36	28	47	42	47	53	17	15	46	40	37	21	35	9	49	6	54	26	27	44	17	7	38	21	29	27	13	36	39	47	52	30	69	28	37	24	56	17	0	38	24	13	45	36
14	9	22	50	23	40	20	72	14	83	10	11	43	47	31	56	6	21	57	47	45	29	42	40	62	51	20	53	41	56	57	23	19	49	8	21	83	14	28	31	62	1	20	28	37	38	0	18	29	35	72
28	25	32	32	7	22	8	54	10	65	24	29	29	29	17	38	22	13	39	29	27	25	24	30	44	33	20	35	23	38	39	5	9	31	18	15	65	28	10	45	44	17	2	32	23	24	18	0	11	21	54
39	36	43	27	18	11	19	43	21	54	35	40	40	18	8	33	33	24	28	22	16	36	13	41	33	22	31	24	12	27	28	16	20	20	29	26	54	39	17	56	33	28	11	43	12	13	29	11	0	32	43
21	42	13	15	14	25	27	37	27	48	41	46	8	28	38	21	39	14	26	12	42	6	43	9	27	18	15	34	38	21	30	16	26	44	35	14	48	29	15	24	27	34	21	11	44	45	35	21	32	0	37
58	79	50	22	49	32	62	2	64	11	78	83	29	25	51	16	76	51	17	25	33	43	34	32	12	21	52	25	31	16	21	49	63	35	72	51	11	66	44	43	10	71	52	44	53	36	72	54	43	37	0
