30	17	14	37	25	53	46	86	52	10	59	31	52	56	72	46	31	20	49	29	40	41	11	43	0	43	57	70	55	43	28	70	78	9	11	61	66	75	41	28	32	33	24	56	35	68	30	7	25	34	29
51	46	43	34	44	28	75	43	81	33	56	12	73	13	33	43	32	45	58	58	53	52	36	72	43	0	40	41	36	22	57	57	35	34	42	44	59	32	2	57	11	56	53	85	8	41	33	42	36	17	34
27	44	57	20	32	12	35	29	41	47	16	42	33	29	15	11	26	37	18	40	17	16	46	32	57	40	0	13	4	18	33	17	21	48	56	4	19	18	42	39	33	24	47	45	42	11	27	56	32	23	28
40	57	70	33	45	17	34	16	40	60	15	43	32	30	8	24	39	50	21	53	30	29	59	31	70	41	13	0	15	27	46	16	12	61	69	9	18	11	43	52	38	37	60	44	43	2	40	69	45	36	41
25	42	55	18	30	8	39	31	45	45	20	38	37	25	17	9	24	35	22	38	17	16	44	36	55	36	4	15	0	14	31	21	23	46	54	8	23	20	38	37	29	22	45	49	38	13	25	54	30	21	26
29	30	43	12	22	10	53	43	59	33	34	24	51	13	29	21	12	23	36	36	31	30	32	50	43	22	18	27	14	0	35	35	35	34	42	22	37	32	24	35	15	34	33	63	24	25	13	42	18	9	14
6	11	24	23	13	29	18	62	24	34	35	59	28	46	48	22	25	12	25	7	16	17	21	19	28	57	33	46	31	35	0	46	54	33	23	37	42	51	59	6	50	9	14	28	59	44	24	23	21	40	23
40	57	70	33	45	29	30	20	34	60	11	59	18	46	24	24	39	50	21	53	30	29	59	27	70	57	17	16	21	35	46	0	28	61	69	13	4	27	59	52	50	37	60	34	59	16	40	69	45	40	41
48	65	78	41	53	25	46	8	52	68	27	47	44	22	6	32	47	58	29	61	38	37	67	43	78	35	21	12	23	35	54	28	0	69	77	17	30	3	37	60	46	45	68	56	43	12	48	77	53	44	49
27	22	19	28	20	44	51	77	57	1	50	26	49	47	63	37	22	21	40	34	31	32	12	48	9	34	48	61	46	34	33	61	69	0	16	52	57	66	32	33	23	32	29	61	26	59	21	12	16	25	20
29	12	3	36	24	52	39	85	41	17	58	42	51	55	71	45	30	19	48	18	39	40	10	42	11	42	56	69	54	42	23	69	77	16	0	60	65	74	42	17	33	32	13	45	42	67	29	4	24	33	28
31	48	61	24	36	16	31	25	37	51	12	46	29	33	11	15	30	41	14	44	21	20	50	28	61	44	4	9	8	22	37	13	17	52	60	0	15	14	46	43	37	28	51	41	46	7	31	60	36	27	32
36	53	66	29	41	31	26	22	30	56	7	61	14	48	26	20	35	46	17	49	26	25	55	23	66	59	19	18	23	37	42	4	30	57	65	15	0	29	61	48	52	33	56	30	61	18	36	65	41	42	37
45	62	75	38	50	22	45	11	51	65	26	44	43	19	3	29	44	55	28	58	35	34	64	42	75	32	18	11	20	32	51	27	3	66	74	14	29	0	34	57	43	42	65	55	40	11	45	74	50	41	46
53	48	45	36	46	30	77	45	83	31	58	10	75	15	35	45	34	47	60	60	55	54	38	74	41	2	42	43	38	24	59	59	37	32	42	46	61	34	0	59	9	58	55	87	6	43	35	40	38	19	36
12	11	18	23	13	35	22	68	24	34	41	59	34	46	54	28	25	12	31	1	22	23	21	25	28	57	39	52	37	35	6	52	60	33	17	43	48	57	59	0	50	15	8	28	59	50	24	21	21	40	23
44	39	36	27	37	21	68	54	74	22	49	9	66	24	40	36	25	38	51	51	46	45	29	65	32	11	33	38	29	15	50	50	46	23	33	37	52	43	9	50	0	49	46	78	9	36	26	31	29	10	27
5	20	33	22	12	28	19	53	25	33	26	58	19	45	39	13	24	13	16	16	7	8	22	16	33	56	24	37	22	34	9	37	45	32	32	28	33	42	58	15	49	0	23	29	58	35	23	32	20	39	22
20	7	10	27	15	43	30	76	28	30	49	55	42	46	62	36	21	10	39	7	30	31	17	33	24	53	47	60	45	33	14	60	68	29	13	51	56	65	55	8	46	23	0	32	55	58	20	17	17	36	19
34	39	42	51	41	57	10	50	4	62	29	87	16	74	52	42	53	40	27	27	32	33	49	13	56	85	45	44	49	63	28	34	56	61	45	41	30	55	87	28	78	29	32	0	87	44	52	49	49	68	51
53	48	45	36	46	30	77	51	83	25	58	4	75	21	37	45	34	47	60	60	55	54	38	74	35	8	42	43	38	24	59	59	43	26	42	46	61	40	6	59	9	58	55	87	0	43	35	38	38	19	36
38	55	68	31	43	15	34	18	40	58	15	43	32	30	8	22	37	48	19	51	28	27	57	31	68	41	11	2	13	25	44	16	12	59	67	7	18	11	43	50	36	35	58	44	43	0	38	67	43	34	39
18	17	30	7	11	23	42	56	48	20	29	35	40	26	42	16	1	12	25	25	20	19	19	39	30	33	27	40	25	13	24	40	48	21	29	31	36	45	35	24	26	23	20	52	35	38	0	29	5	16	1
29	12	7	36	24	52	39	85	45	13	58	38	51	55	71	45	30	19	48	22	39	40	10	42	7	42	56	69	54	42	23	69	77	12	4	60	65	74	40	21	31	32	17	49	38	67	29	0	24	33	28
15	12	25	12	8	28	39	61	45	15	34	38	37	31	47	21	6	9	24	22	17	16	14	36	25	36	32	45	30	18	21	45	53	16	24	36	41	50	38	21	29	20	17	49	38	43	5	24	0	19	4
34	29	34	17	27	19	58	52	64	24	39	19	56	22	38	26	15	28	41	41	36	35	23	55	34	17	23	36	21	9	40	40	44	25	33	27	42	41	19	40	10	39	36	68	19	34	16	33	19	0	17
17	16	29	8	10	24	41	57	47	19	30	36	39	27	43	17	2	11	24	24	19	18	18	38	29	34	28	41	26	14	23	41	49	20	28	32	37	46	36	23	27	22	19	51	36	39	1	28	4	17	0
