24	29	34	57	47	28	26	29	47	42	12	77	8	20	43	27	8	62	31	4	10	1	34	29	4	57	12	39	26	31	52	0	44	72	42	38	50	53	36	5	25	54	41	42	39	47	28	22	35	35	15
20	15	10	15	39	42	18	33	61	26	40	33	36	24	57	41	36	18	45	40	34	43	24	15	48	27	36	7	18	13	8	44	0	28	56	12	64	9	34	49	25	30	13	28	29	31	42	22	9	9	29
48	43	38	15	27	66	46	61	49	30	68	5	64	52	45	63	64	10	61	68	62	71	52	43	76	15	64	33	46	41	20	72	28	0	44	34	52	19	36	77	47	18	31	48	33	25	50	50	37	37	57
56	59	58	41	19	22	54	71	5	30	30	49	46	58	5	19	50	44	17	40	38	43	76	69	38	29	54	49	48	53	62	42	56	44	0	44	8	53	22	43	31	26	43	84	27	25	14	64	53	53	31
14	15	14	19	27	32	12	27	49	14	34	39	30	18	45	29	30	24	33	34	28	37	32	25	42	19	30	5	12	9	18	38	12	34	44	0	52	15	22	43	13	18	3	40	17	19	30	20	9	9	23
64	67	66	49	25	22	62	79	3	38	38	51	54	66	7	23	58	52	19	48	46	51	84	77	46	37	62	57	56	61	70	50	64	52	8	52	0	61	30	51	39	34	51	92	35	33	22	72	61	61	39
29	24	19	12	36	47	27	42	58	23	49	24	45	33	54	44	45	9	42	49	43	52	33	24	57	24	45	14	27	22	9	53	9	19	53	15	61	0	31	58	28	27	12	31	26	28	39	31	18	18	38
34	37	36	21	11	30	32	49	27	8	32	41	28	36	23	27	28	26	25	32	26	35	54	47	40	21	32	27	26	31	40	36	34	36	22	22	30	31	0	41	11	18	21	62	5	11	14	42	31	31	21
29	34	39	62	52	29	31	28	48	47	13	82	13	25	44	28	13	67	32	9	15	6	33	34	5	62	13	44	31	36	57	5	49	77	43	43	51	58	41	0	30	59	46	41	44	52	29	27	40	40	20
25	28	27	32	22	19	23	40	36	17	21	52	17	27	32	16	19	37	20	21	15	24	45	38	29	32	23	18	17	22	31	25	25	47	31	13	39	28	11	30	0	29	16	53	14	22	17	33	22	22	10
30	33	32	15	9	48	28	45	31	12	50	23	46	34	27	45	46	18	43	50	44	53	50	43	58	3	46	23	28	27	36	54	30	18	26	18	34	27	18	59	29	0	17	58	15	7	32	38	27	27	39
17	16	15	16	26	35	15	30	48	13	37	36	33	21	44	32	33	21	32	37	31	40	33	26	45	16	33	6	15	10	19	41	13	31	43	3	51	12	21	46	16	17	0	41	16	18	29	21	10	10	26
28	25	26	43	67	70	30	13	89	54	54	53	38	26	85	69	34	40	73	44	46	41	8	15	46	55	30	35	36	31	28	42	28	48	84	40	92	31	62	41	53	58	41	0	57	59	70	20	31	31	53
29	32	31	18	10	33	27	44	32	3	35	38	31	31	28	30	31	23	28	35	29	38	49	42	43	18	31	22	21	26	35	39	29	33	27	17	35	26	5	44	14	15	16	57	0	8	17	37	26	26	24
31	34	33	16	8	41	29	46	30	5	43	30	39	33	26	38	39	19	36	43	37	46	51	44	51	10	39	24	23	28	37	47	31	25	25	19	33	28	11	52	22	7	18	59	8	0	25	39	28	28	32
42	45	44	35	25	16	40	57	19	20	18	55	32	44	15	13	36	40	11	26	24	29	62	55	26	35	40	35	34	39	48	28	42	50	14	30	22	39	14	29	17	32	29	70	17	25	0	50	39	39	17
8	7	12	35	47	50	10	11	69	34	34	55	18	6	65	49	14	40	53	24	26	21	12	7	26	35	14	17	16	11	30	22	22	50	64	20	72	31	42	27	33	38	21	20	37	39	50	0	13	13	33
11	6	5	22	36	39	9	24	58	23	31	42	27	15	54	38	27	27	42	31	25	34	23	16	39	24	27	4	9	4	17	35	9	37	53	9	61	18	31	40	22	27	10	31	26	28	39	13	0	0	22
11	6	5	22	36	39	9	24	58	23	31	42	27	15	54	38	27	27	42	31	25	34	23	16	39	24	27	4	9	4	17	35	9	37	53	9	61	18	31	40	22	27	10	31	26	28	39	13	0	0	22
25	28	27	42	32	17	23	40	36	27	11	62	15	27	32	16	19	47	20	11	7	14	45	38	19	42	23	24	17	22	37	15	29	57	31	23	39	38	21	20	10	39	26	53	24	32	17	33	22	22	0
