26	49	27	33	15	36	58	19	12	49	8	52	29	34	16	55	45	43	14	57	20	55	36	38	63	0	45	25	72	74	71	39	42	40	26	20	31	58	32	24	9	60	48	18	35	37	34	21	38	32	51
29	10	26	30	30	21	17	50	45	8	37	39	32	15	33	20	6	30	31	44	25	10	29	31	18	45	0	20	27	29	26	8	19	15	39	25	14	45	39	23	36	15	13	55	36	24	21	42	27	23	38
29	24	26	30	18	21	33	30	25	24	17	39	32	15	13	30	20	30	11	44	15	30	29	31	38	25	20	0	47	49	46	14	19	15	39	7	12	45	39	23	16	35	23	35	36	24	21	22	25	23	38
46	23	45	39	57	36	20	77	72	23	64	42	43	38	60	17	27	53	58	47	52	17	36	34	17	72	27	47	0	2	1	33	30	32	46	52	41	48	40	48	63	16	24	82	37	37	46	69	54	40	41
48	25	47	41	59	38	18	79	74	25	66	40	45	40	62	19	29	55	60	45	54	19	38	36	15	74	29	49	2	0	3	35	32	34	48	54	43	46	42	50	65	14	26	84	39	39	48	71	56	42	39
45	22	44	38	56	35	19	76	71	22	63	41	42	37	59	18	26	52	57	46	51	16	35	33	16	71	26	46	1	3	0	32	29	31	45	51	40	47	39	47	62	15	23	81	36	36	45	68	53	39	40
21	18	18	22	24	29	25	44	39	16	31	47	24	7	27	16	6	38	25	52	19	16	21	23	24	39	8	14	33	35	32	0	27	23	31	19	8	53	31	15	30	21	21	49	28	32	29	36	33	15	46
48	9	45	49	37	6	16	47	42	11	36	20	51	34	30	39	25	23	28	25	34	27	48	50	21	42	19	19	30	32	29	27	0	4	58	26	31	26	58	42	33	18	6	52	55	7	16	39	24	42	19
44	9	41	45	33	6	18	45	40	9	32	24	47	30	28	35	21	21	26	29	30	23	44	46	23	40	15	15	32	34	31	23	4	0	54	22	27	30	54	38	31	20	8	50	51	9	14	37	22	38	23
10	49	13	9	21	60	56	45	38	47	22	78	7	24	42	29	33	69	34	83	24	31	10	12	53	26	39	39	46	48	45	31	58	54	0	32	27	84	6	16	27	52	52	44	9	63	60	47	64	16	77
22	29	19	23	11	28	38	25	20	29	12	46	25	14	10	35	25	37	6	51	8	35	22	24	43	20	25	7	52	54	51	19	26	22	32	0	11	52	32	16	11	40	28	30	29	31	28	17	32	16	45
17	22	14	18	16	33	29	36	31	20	23	51	20	3	19	24	14	42	17	56	11	24	17	19	32	31	14	12	41	43	40	8	31	27	27	11	0	57	27	11	22	29	25	41	24	36	33	28	37	11	50
74	35	71	75	63	24	28	39	46	37	62	8	77	60	42	65	51	15	50	7	60	53	74	76	33	58	45	45	48	46	47	53	26	30	84	52	57	0	84	68	57	32	32	40	81	21	24	37	20	68	13
10	49	13	9	21	60	56	45	38	47	24	78	7	24	42	23	33	69	34	83	24	31	10	8	53	32	39	39	40	42	39	31	58	54	6	32	27	84	0	16	27	52	52	44	3	63	60	47	64	16	77
6	33	3	9	9	44	40	29	24	31	16	62	9	10	26	31	21	53	18	67	8	31	12	14	39	24	23	23	48	50	47	15	42	38	16	16	11	68	16	0	15	36	36	34	13	47	44	31	48	8	61
17	40	18	24	6	33	49	18	11	40	5	51	20	25	15	46	36	42	7	56	11	46	27	29	54	9	36	16	63	65	62	30	33	31	27	11	22	57	27	15	0	51	39	19	26	36	33	20	37	23	50
42	11	39	43	45	24	4	65	60	11	52	26	45	28	48	33	19	41	46	31	40	21	42	44	3	60	15	35	16	14	15	21	18	20	52	40	29	32	52	36	51	0	12	70	49	25	34	57	42	36	25
42	3	39	43	33	12	10	53	48	5	40	26	45	28	36	33	19	29	34	31	28	21	42	44	15	48	13	23	24	26	23	21	6	8	52	28	25	32	52	36	39	12	0	58	49	13	22	45	30	36	25
36	59	37	43	25	46	68	5	10	59	22	48	39	44	22	65	55	29	24	47	30	65	46	48	73	18	55	35	82	84	81	49	52	50	44	30	41	40	44	34	19	70	58	0	45	45	36	13	28	42	53
9	46	10	6	20	57	53	42	35	44	27	75	6	21	39	20	30	66	31	80	21	28	7	5	50	35	36	36	37	39	36	28	55	51	9	29	24	81	3	13	26	49	49	45	0	60	57	44	61	13	74
53	14	50	54	42	3	23	40	35	16	41	15	56	39	23	44	30	16	29	20	39	32	53	55	28	37	24	24	37	39	36	32	7	9	63	31	36	21	63	47	36	25	13	45	60	0	9	32	17	47	14
50	23	47	51	39	10	32	31	26	23	38	18	53	36	18	41	27	9	26	23	36	29	50	52	37	34	21	21	46	48	45	29	16	14	60	28	33	24	60	44	33	34	22	36	57	9	0	23	8	44	17
37	46	34	38	26	33	55	8	9	46	25	35	40	31	9	52	42	22	13	36	23	52	37	39	60	21	42	22	69	71	68	36	39	37	47	17	28	37	47	31	20	57	45	13	44	32	23	0	17	31	40
54	31	51	55	43	18	40	23	26	31	42	20	57	40	22	45	31	5	30	19	40	37	54	56	45	38	27	25	54	56	53	33	24	22	64	32	37	20	64	48	37	42	30	28	61	17	8	17	0	48	25
6	33	5	7	17	44	40	37	32	31	24	62	9	8	26	23	17	53	18	67	12	23	6	8	37	32	23	23	40	42	39	15	42	38	16	16	11	68	16	8	23	36	36	42	13	47	44	31	48	0	61
67	28	64	68	56	17	21	48	43	30	55	5	70	53	35	58	44	24	43	6	53	46	67	69	24	51	38	38	41	39	40	46	19	23	77	45	50	13	77	61	50	25	25	53	74	14	17	40	25	61	0
