17	41	27	32	32	40	14	44	29	28	26	41	30	24	13	23	44	28	11	10	27	40	22	27	34	34	14	29	0	32	48	26	23	30	60	13	47	57	37	38	9	49	44	7	39	16	59	16	27	23	16
23	35	15	26	2	46	18	50	3	24	8	43	14	32	21	13	50	34	21	40	21	46	16	5	40	10	46	35	32	0	16	20	37	24	28	39	53	25	43	18	25	55	20	37	33	16	27	48	33	25	28
39	45	25	36	16	36	34	40	19	20	22	33	24	48	37	25	40	32	37	56	31	36	26	21	30	20	62	25	48	16	0	30	53	34	12	55	43	9	37	10	41	45	10	53	43	32	13	64	39	25	44
43	15	5	6	18	66	30	70	23	44	28	63	8	50	13	7	70	54	21	30	3	66	4	19	60	12	36	55	26	20	30	0	49	6	38	39	73	35	63	38	35	75	40	33	13	16	43	38	53	45	42
14	64	44	55	37	39	19	27	34	33	31	46	43	5	36	42	35	21	28	33	50	33	45	32	23	39	17	28	23	37	53	49	0	53	65	10	24	62	16	43	14	26	49	16	62	33	64	17	14	28	9
47	11	9	8	22	70	34	74	27	48	32	67	10	54	17	11	74	58	25	36	3	70	8	23	64	14	42	59	30	24	34	6	53	0	38	43	77	39	67	42	39	79	44	37	9	20	47	44	57	49	46
51	49	33	40	28	32	46	38	31	32	34	29	30	60	49	37	36	44	49	68	35	32	38	33	42	26	74	37	60	28	12	38	65	38	0	67	43	3	49	22	53	43	16	65	47	44	9	76	51	37	56
16	54	34	45	39	41	21	31	36	35	33	48	37	11	26	32	37	23	18	23	40	35	35	34	25	41	7	30	13	39	55	39	10	43	67	0	34	64	24	45	14	36	51	6	52	23	66	9	16	30	11
30	88	68	79	55	17	43	5	50	29	45	24	67	23	60	66	13	19	52	57	74	11	69	54	13	63	41	18	47	53	43	73	24	77	43	34	0	40	10	35	38	2	33	40	86	57	42	41	20	28	31
48	50	30	41	25	31	43	35	28	29	31	28	29	57	46	34	35	41	46	65	36	31	35	30	39	25	71	34	57	25	9	35	62	39	3	64	40	0	46	19	50	40	13	62	48	41	8	73	48	34	53
20	78	58	69	45	23	33	11	40	19	35	30	57	13	50	56	19	9	42	47	64	17	59	44	7	53	31	12	37	43	37	63	16	67	49	24	10	46	0	27	28	12	33	30	76	47	48	31	10	18	21
29	53	33	44	20	28	24	32	15	10	12	25	32	38	27	31	32	22	27	46	39	28	34	19	22	28	52	17	38	18	10	38	43	42	22	45	35	19	27	0	31	37	6	43	51	22	21	54	29	15	34
8	50	30	41	25	31	7	35	22	21	19	34	29	15	22	28	35	19	14	19	36	31	31	20	25	27	21	20	9	25	41	35	14	39	53	14	38	50	28	31	0	40	37	12	48	19	52	23	18	16	7
32	90	70	81	57	17	45	5	52	31	47	24	69	25	62	68	13	21	54	59	76	11	71	56	15	65	43	20	49	55	45	75	26	79	43	36	2	40	12	37	40	0	35	42	88	59	42	43	22	30	33
35	55	35	46	22	26	30	30	17	16	18	23	34	44	33	33	30	28	33	52	41	26	36	21	26	30	58	21	44	20	10	40	49	44	16	51	33	13	33	6	37	35	0	49	53	28	15	60	35	21	40
14	48	32	39	37	39	19	37	34	33	31	46	35	17	20	28	37	21	16	17	34	33	29	32	27	39	9	28	7	37	53	33	16	37	65	6	40	62	30	43	12	42	49	0	46	21	64	11	20	28	9
56	2	18	7	31	79	43	83	36	57	41	76	19	63	26	20	83	67	34	29	12	79	17	32	73	23	45	68	39	33	43	13	62	9	47	52	86	48	76	51	48	88	53	46	0	29	56	45	66	58	55
27	31	11	22	16	50	14	54	13	28	12	47	14	34	5	9	54	38	5	24	17	50	12	11	44	18	30	39	16	16	32	16	33	20	44	23	57	41	47	22	19	59	28	21	29	0	43	32	37	29	26
50	58	38	49	27	25	45	37	30	31	33	20	37	59	48	36	29	43	48	67	44	31	39	32	41	33	73	36	59	27	13	43	64	47	9	66	42	8	48	21	52	42	15	64	56	43	0	75	50	36	55
25	47	43	38	48	50	30	38	45	44	42	57	46	18	27	39	46	32	27	16	41	44	38	43	34	50	2	39	16	48	64	38	17	44	76	9	41	73	31	54	23	43	60	11	45	32	75	0	25	39	20
10	68	48	59	35	25	23	17	30	19	25	32	47	9	40	46	21	7	32	37	54	19	49	34	9	43	23	14	27	33	39	53	14	57	51	16	20	48	10	29	18	22	35	20	66	37	50	25	0	14	11
14	60	40	51	27	21	15	25	22	5	17	18	39	23	32	38	25	9	24	31	46	21	41	26	15	35	37	10	23	25	25	45	28	49	37	30	28	34	18	15	16	30	21	28	58	29	36	39	14	0	19
5	57	37	48	28	30	12	28	25	24	22	37	36	8	29	35	28	12	21	26	43	24	38	23	18	32	18	19	16	28	44	42	9	46	56	11	31	53	21	34	7	33	40	9	55	26	55	20	11	19	0
