41	50	40	39	28	45	46	19	32	11	0	36	21	60	54	58	57	23	57	58	28	42	67	66	38	52	29	22	30	48	42	56	64	55	36	46	58	46	6	40	67	25	34	40	39	14	68	2	39	33	12
25	14	18	11	16	33	18	17	58	41	36	0	15	24	26	30	25	23	29	32	10	16	31	30	26	34	21	20	8	20	32	20	28	19	34	18	22	10	30	12	31	39	26	20	11	22	32	38	11	45	24
20	29	19	18	7	26	25	8	51	26	21	15	0	39	33	37	36	16	36	37	7	21	46	45	19	31	8	5	9	27	25	35	43	34	27	25	37	25	21	19	46	24	19	19	18	11	47	23	18	38	15
19	10	42	21	40	27	42	41	52	65	60	24	39	0	20	36	19	37	35	26	34	40	7	8	22	28	45	44	30	14	26	6	4	13	28	32	8	14	54	28	19	63	26	20	29	46	8	62	29	39	48
13	14	38	37	34	9	44	35	32	59	54	26	33	20	0	56	3	31	55	6	28	40	15	12	16	8	39	38	24	6	12	14	16	7	18	44	28	28	48	38	13	57	20	14	37	40	18	56	37	21	42
55	42	18	19	30	63	12	45	88	47	58	30	37	36	56	0	55	53	9	62	30	16	41	44	56	64	29	36	38	50	62	42	40	49	64	12	28	28	58	18	55	33	56	50	19	48	38	58	19	75	52
16	13	39	36	37	12	43	38	33	62	57	25	36	19	3	55	0	34	54	7	31	39	14	11	19	9	42	41	27	9	15	13	15	6	21	43	27	27	51	37	10	60	23	17	36	43	17	59	36	24	45
18	27	35	34	23	22	41	8	35	28	23	23	16	37	31	53	34	0	52	35	23	37	44	43	15	29	24	17	15	25	19	33	41	32	13	41	35	25	17	35	44	26	11	17	34	9	45	25	34	22	11
54	41	21	18	29	62	21	44	87	46	57	29	36	35	55	9	54	52	0	61	29	19	40	43	55	63	28	35	37	49	61	41	39	48	63	11	27	27	57	17	54	42	55	49	18	47	37	57	18	74	51
17	20	44	43	38	13	50	39	26	63	58	32	37	26	6	62	7	35	61	0	32	46	21	18	20	6	43	42	28	12	16	20	22	13	22	50	34	34	52	44	9	61	24	18	43	44	24	60	43	25	46
25	24	12	13	6	33	18	15	58	31	28	10	7	34	28	30	31	23	29	32	0	14	41	40	26	34	11	10	8	22	32	30	38	29	34	18	32	20	28	12	41	29	26	20	11	18	42	28	11	45	22
39	30	2	19	14	47	4	29	72	31	42	16	21	40	40	16	39	37	19	46	14	0	47	46	40	48	13	20	22	34	46	36	44	35	48	8	38	26	42	12	47	23	40	34	11	32	48	42	11	59	36
26	17	49	28	47	22	49	48	47	72	67	31	46	7	15	41	14	44	40	21	41	47	0	3	29	23	52	51	37	19	25	11	3	12	31	39	13	21	61	35	14	70	33	27	36	53	3	69	36	34	55
25	16	48	27	46	21	48	47	44	71	66	30	45	8	12	44	11	43	43	18	40	46	3	0	28	20	51	50	36	18	24	10	4	11	30	38	16	20	60	34	11	69	32	26	35	52	6	68	35	33	54
3	14	38	37	26	7	44	19	32	43	38	26	19	22	16	56	19	15	55	20	26	40	29	28	0	14	27	22	18	10	6	18	26	17	8	44	28	28	32	38	29	41	4	6	37	24	30	40	37	19	26
11	22	46	45	34	7	52	33	24	57	52	34	31	28	8	64	9	29	63	6	34	48	23	20	14	0	37	36	26	14	10	22	24	15	16	52	36	36	46	46	15	55	18	14	45	38	26	54	45	19	40
26	35	11	24	5	34	17	16	59	20	29	21	8	45	39	29	42	24	28	43	11	13	52	51	27	37	0	7	15	33	33	41	49	40	35	17	43	31	29	17	52	18	27	25	16	19	53	29	16	46	23
25	34	18	23	6	29	24	9	52	21	22	20	5	44	38	36	41	17	35	42	10	20	51	50	22	36	7	0	14	32	26	40	48	39	28	24	42	30	22	18	51	19	20	24	17	12	52	22	17	39	16
17	20	20	19	10	25	26	11	50	35	30	8	9	30	24	38	27	15	37	28	8	22	37	36	18	26	15	14	0	18	24	26	34	25	26	26	28	16	24	20	37	33	18	12	19	16	38	32	19	37	18
7	8	32	31	28	13	38	29	38	53	48	20	27	14	6	50	9	25	49	12	22	34	19	18	10	14	33	32	18	0	12	8	16	7	14	38	22	22	42	32	19	51	14	8	31	34	20	50	31	25	36
7	20	44	43	32	3	50	23	26	47	42	32	25	26	12	62	15	19	61	16	32	46	25	24	6	10	33	26	24	12	0	20	22	13	6	50	34	34	36	44	25	45	8	12	43	28	26	44	43	13	30
15	6	38	23	36	21	38	37	46	61	56	20	35	6	14	42	13	33	41	20	30	36	11	10	18	22	41	40	26	8	20	0	8	7	22	30	14	14	50	24	13	59	22	16	25	42	12	58	25	33	44
23	14	46	25	44	23	46	45	48	69	64	28	43	4	16	40	15	41	39	22	38	44	3	4	26	24	49	48	34	16	22	8	0	9	28	36	12	18	58	32	15	67	30	24	33	50	4	66	33	35	52
14	7	37	30	35	14	37	36	39	60	55	19	34	13	7	49	6	32	48	13	29	35	12	11	17	15	40	39	25	7	13	7	9	0	19	37	21	21	49	31	12	58	21	15	30	41	13	57	30	26	43
9	22	46	45	34	9	52	19	24	41	36	34	27	28	18	64	21	13	63	22	34	48	31	30	8	16	35	28	26	14	6	22	28	19	0	52	36	36	30	46	31	39	8	14	45	22	32	38	45	11	24
43	30	10	11	18	51	10	33	76	35	46	18	25	32	44	12	43	41	11	50	18	8	39	38	44	52	17	24	26	38	50	30	36	37	52	0	30	18	46	6	43	31	44	38	7	36	40	46	7	63	40
27	14	40	19	38	35	40	39	60	63	58	22	37	8	28	28	27	35	27	34	32	38	13	16	28	36	43	42	28	22	34	14	12	21	36	30	0	12	52	26	27	61	28	22	27	44	10	60	27	47	46
27	14	28	9	26	35	28	27	60	51	46	10	25	14	28	28	27	25	27	34	20	26	21	20	28	36	31	30	16	22	34	14	18	21	36	18	12	0	40	14	27	49	28	22	15	32	22	48	15	47	34
35	44	40	39	28	39	46	13	30	11	6	30	21	54	48	58	51	17	57	52	28	42	61	60	32	46	29	22	24	42	36	50	58	49	30	46	52	40	0	40	61	25	28	34	39	10	62	8	39	27	6
37	24	14	7	12	45	14	27	70	37	40	12	19	28	38	18	37	35	17	44	12	12	35	34	38	46	17	18	20	32	44	24	32	31	46	6	26	14	40	0	37	35	38	32	1	30	36	40	1	57	34
26	17	49	36	47	22	49	48	35	72	67	31	46	19	13	55	10	44	54	9	41	47	14	11	29	15	52	51	37	19	25	13	15	12	31	43	27	27	61	37	0	70	33	27	36	53	17	69	36	34	55
44	53	21	42	23	48	21	22	55	14	25	39	24	63	57	33	60	26	42	61	29	23	70	69	41	55	18	19	33	51	45	59	67	58	39	31	61	49	25	35	70	0	37	43	34	17	71	25	34	42	19
7	16	38	37	26	11	44	15	32	39	34	26	19	26	20	56	23	11	55	24	26	40	33	32	4	18	27	20	18	14	8	22	30	21	8	44	28	28	28	38	33	37	0	6	37	20	34	36	37	19	22
5	10	32	31	20	13	38	21	38	45	40	20	19	20	14	50	17	17	49	18	20	34	27	26	6	14	25	24	12	8	12	16	24	15	14	38	22	22	34	32	27	43	6	0	31	26	28	42	31	25	28
36	23	13	8	11	44	13	26	69	36	39	11	18	29	37	19	36	34	18	43	11	11	36	35	37	45	16	17	19	31	43	25	33	30	45	7	27	15	39	1	36	34	37	31	0	29	37	39	0	56	33
27	36	30	29	18	31	36	5	40	19	14	22	11	46	40	48	43	9	47	44	18	32	53	52	24	38	19	12	16	34	28	42	50	41	22	36	44	32	10	30	53	17	20	26	29	0	54	16	29	27	4
27	18	50	29	48	25	50	49	50	73	68	32	47	8	18	38	17	45	37	24	42	48	3	6	30	26	53	52	38	20	26	12	4	13	32	40	10	22	62	36	17	71	34	28	37	54	0	70	37	37	56
43	52	40	41	28	47	46	21	34	11	2	38	23	62	56	58	59	25	57	60	28	42	69	68	40	54	29	22	32	50	44	58	66	57	38	46	60	48	8	40	69	25	36	42	39	16	70	0	39	35	14
36	23	13	8	11	44	13	26	69	36	39	11	18	29	37	19	36	34	18	43	11	11	36	35	37	45	16	17	19	31	43	25	33	30	45	7	27	15	39	1	36	34	37	31	0	29	37	39	0	56	33
20	33	57	56	45	12	63	30	13	38	33	45	38	39	21	75	24	22	74	25	45	59	34	33	19	19	46	39	37	25	13	33	35	26	11	63	47	47	27	57	34	42	19	25	56	27	37	35	56	0	23
29	38	34	33	22	33	40	7	36	17	12	24	15	48	42	52	45	11	51	46	22	36	55	54	26	40	23	16	18	36	30	44	52	43	24	40	46	34	6	34	55	19	22	28	33	4	56	14	33	23	0
