28	31	56	13	48	22	35	16	16	6	11	35	51	46	35	10	32	50	1	36	49	56	38	20	42	15	24	0	6	57	27	39	46	36	11	53	18	21	34	19	45	41	22	39	60	28	23	49	56	17	35
34	27	52	11	44	16	29	20	12	10	11	29	47	42	29	14	28	44	5	30	45	50	34	14	38	13	22	6	0	51	31	35	40	32	17	49	14	15	28	15	41	35	18	33	54	24	19	45	50	11	29
85	42	41	62	57	35	32	49	43	59	62	22	40	43	22	53	79	7	56	21	38	5	47	37	51	42	41	57	51	0	50	42	11	37	68	36	39	36	23	54	54	16	43	18	3	43	64	30	9	40	30
43	58	83	40	75	27	20	11	43	21	38	42	78	73	42	17	59	47	26	57	76	45	65	17	69	18	9	27	31	50	0	66	61	63	28	80	45	38	33	46	72	48	49	50	47	55	50	76	41	32	20
43	8	17	26	15	39	48	55	23	45	28	24	12	7	24	49	37	35	40	21	10	41	5	49	9	48	57	39	35	42	66	0	31	5	38	14	21	28	33	20	12	26	17	24	45	11	22	12	41	34	46
74	31	30	51	46	34	43	50	32	48	51	19	29	32	19	44	68	14	45	10	27	16	36	44	40	43	52	46	40	11	61	31	0	26	57	25	28	25	28	43	43	13	32	11	14	32	53	19	20	29	41
48	5	20	25	20	36	45	52	20	42	25	21	15	10	21	46	42	30	37	16	13	36	10	46	14	45	54	36	32	37	63	5	26	0	35	17	18	25	30	17	17	21	14	19	40	8	27	13	36	31	43
17	30	55	12	47	33	46	19	25	9	10	46	50	45	46	15	31	61	12	47	48	67	37	31	41	26	35	11	17	68	28	38	57	35	0	52	29	32	45	18	44	52	25	50	71	27	22	48	67	28	46
49	22	5	40	21	53	62	69	37	59	42	38	4	7	38	63	43	33	54	23	4	35	15	63	15	62	71	53	49	36	80	14	25	17	52	0	35	42	47	34	18	32	31	30	39	25	30	6	39	48	60
46	13	38	23	30	18	27	34	4	24	23	17	33	28	17	28	40	32	19	18	31	38	20	28	24	27	36	18	14	39	45	21	28	18	29	35	0	7	16	15	27	23	4	21	42	10	25	31	38	13	25
49	20	45	26	37	11	20	27	7	23	26	14	40	35	14	21	43	29	20	19	38	35	27	21	31	20	29	21	15	36	38	28	25	25	32	42	7	0	13	18	34	20	11	18	39	17	28	38	35	6	18
62	25	50	39	42	12	15	26	20	36	39	9	45	40	9	30	56	16	33	24	43	22	32	16	36	19	24	34	28	23	33	33	28	30	45	47	16	13	0	31	39	15	20	17	26	22	41	43	22	17	13
31	12	37	8	29	19	32	35	11	25	8	32	32	27	32	29	25	47	20	33	30	53	19	29	23	28	37	19	15	54	46	20	43	17	18	34	15	18	31	0	26	38	11	36	57	11	10	30	53	14	32
31	14	13	32	3	45	54	61	29	51	34	32	14	11	32	55	25	47	46	33	16	53	7	55	3	54	63	45	41	54	72	12	43	17	44	18	27	34	39	26	0	38	23	36	57	17	22	24	53	40	52
69	26	35	46	41	21	30	37	27	43	46	6	30	27	6	37	63	9	40	9	28	15	31	31	35	30	39	41	35	16	48	26	13	21	52	32	23	20	15	38	38	0	27	2	19	27	48	28	15	24	28
42	9	34	19	26	22	31	38	6	28	19	21	29	24	21	32	36	36	23	22	27	42	16	32	20	31	40	22	18	43	49	17	32	14	25	31	4	11	20	11	23	27	0	25	46	6	21	27	42	17	29
67	24	33	44	39	23	32	39	25	41	44	8	28	25	8	35	61	11	38	7	26	17	29	33	33	32	41	39	33	18	50	24	11	19	50	30	21	18	17	36	36	2	25	0	21	25	46	26	17	22	30
88	45	44	65	60	38	29	52	46	62	65	25	43	46	25	56	82	10	59	24	41	4	50	40	54	45	38	60	54	3	47	45	14	40	71	39	42	39	26	57	57	19	46	21	0	46	67	33	6	43	27
42	3	28	19	20	28	37	44	12	34	19	21	23	18	21	38	36	36	29	22	21	42	10	38	14	37	46	28	24	43	55	11	32	8	27	25	10	17	22	11	17	27	6	25	46	0	21	21	42	23	35
21	22	33	10	25	29	42	39	21	29	12	42	28	23	42	33	15	57	24	43	26	63	17	33	19	32	41	23	19	64	50	22	53	27	22	30	25	28	41	10	22	48	21	46	67	21	0	34	63	24	42
55	18	11	36	27	49	58	65	33	55	38	34	10	13	34	59	49	29	50	19	8	31	17	59	21	58	67	49	45	30	76	12	19	13	48	6	31	38	43	30	24	28	27	26	33	21	34	0	35	44	56
84	41	42	61	56	34	23	48	42	58	61	21	39	42	21	52	78	6	55	20	37	4	46	36	50	41	32	56	50	9	41	41	20	36	67	39	38	35	22	53	53	15	42	17	6	42	63	35	0	39	21
45	26	51	22	43	5	18	21	11	19	22	18	46	41	18	15	39	33	16	25	44	39	33	15	37	14	23	17	11	40	32	34	29	31	28	48	13	6	17	14	40	24	17	22	43	23	24	44	39	0	18
63	38	63	40	55	13	2	27	23	37	40	22	58	53	22	31	57	27	34	37	56	25	45	15	49	20	11	35	29	30	20	46	41	43	46	60	25	18	13	32	52	28	29	30	27	35	42	56	21	18	0
